nombre_municipio,asegurados,fecha
Guadalajara                   ,1153747,01/12/2015
Guadalajara                   ,967845,01/12/2016
Guadalajara                   ,1016765,01/12/2017
Guadalajara                   ,1026826,01/12/2018
Guadalajara                   ,1034498,01/12/2019
Guadalajara                   ,1047893,01/12/2020
Guadalajara                   ,1045798,01/12/2021
Guadalajara                   ,1086434,01/12/2022
Guadalajara                   ,1131564,01/12/2023
Guadalajara                   ,1164012,01/12/2024
